company_id,flight_number,scheduled_departure_date_local,scheduled_departure_station_code,scheduled_arrival_station_code,scheduled_departure_datetime_local,scheduled_arrival_datetime_local,actual_departure_datetime_local,actual_arrival_datetime_local,total_seats,fleet_type,carrier,scheduled_ground_time_minutes,actual_ground_time_minutes,minimum_turn_minutes,departure_delay_minutes,arrival_delay_minutes,ground_time_ratio,ground_time_buffer,ground_time_pressure,ground_time_risk,aircraft_size_complexity,carrier_complexity,total_pax,lap_child_count,is_child,basic_economy_ind,is_stroller_user,load_factor,children_complexity,stroller_complexity,basic_economy_complexity,special_service_count,special_service_complexity,Hot Transfer,Origin,Transfer,total_bags,transfer_ratio,baggage_complexity,transfer_bag_complexity,historical_difficulty,difficulty_score,daily_rank,daily_flight_count,daily_percentile,difficulty_classification
UA,1584,2025-08-01,ORD,LAX,2025-08-01 10:50:00+00:00,2025-08-01 13:23:00+00:00,2025-08-01 12:06:00+00:00,2025-08-01 14:22:00+00:00,200,A321-2NX,Mainline,-37,67,62,76.0,59.0,-0.5967741935483871,-99,100.0,109,2.0,1.5,259,0,0.0,7,6,1.295,0.0,0.023166023166023165,0.02702702702702703,55,0.21235521235521235,4,88,41,41,1.0,0.1583011583011583,2.0,1.5,45.47404140524666,1.0,561,0.17825311942959002,Difficult
UA,1502,2025-08-01,ORD,RDU,2025-08-01 14:08:00+00:00,2025-08-01 17:16:00+00:00,2025-08-01 16:16:00+00:00,2025-08-01 19:37:00+00:00,179,B737-900,Mainline,-43,103,56,128.0,141.0,-0.7678571428571429,-99,100.0,109,1.79,1.5,194,2,0.0,20,1,1.0837988826815643,0.010309278350515464,0.005154639175257732,0.10309278350515463,77,0.39690721649484534,7,57,49,49,1.0,0.25257731958762886,2.0,1.5,44.675600059962775,2.0,561,0.35650623885918004,Difficult
UA,1761,2025-08-01,ORD,FAT,2025-08-01 19:57:00+00:00,2025-08-01 22:30:00+00:00,2025-08-01 21:08:00+00:00,2025-08-01 23:38:00+00:00,126,B737-700,Mainline,-10,56,43,71.0,68.0,-0.23255813953488372,-53,100.0,63,1.26,1.5,144,0,0.0,16,0,1.1428571428571428,0.0,0.0,0.1111111111111111,107,0.7430555555555556,0,45,54,54,1.0,0.375,2.0,1.5,42.62623692730818,3.0,561,0.53475935828877,Difficult
OO,5790,2025-08-01,ORD,CRW,2025-08-01 18:20:00+00:00,2025-08-01 21:04:00+00:00,2025-08-01 19:14:00+00:00,2025-08-01 21:55:00+00:00,50,CRJ-200,Express,-7,36,29,54.0,51.0,-0.2413793103448276,-36,100.0,46,0.5,1.0,54,1,0.0,9,1,1.08,0.018518518518518517,0.018518518518518517,0.16666666666666666,30,0.5555555555555556,1,18,27,27,1.0,0.5,2.0,1.5,37.442280960697396,4.0,561,0.7130124777183601,Difficult
OO,5376,2025-08-01,ORD,LEX,2025-08-01 14:30:00+00:00,2025-08-01 17:01:00+00:00,2025-08-01 17:39:00+00:00,2025-08-01 19:47:00+00:00,70,ERJ-175,Express,-159,40,34,189.0,166.0,-4.676470588235294,-193,100.0,203,0.7,1.0,74,0,0.0,2,0,1.0571428571428572,0.0,0.0,0.02702702702702703,39,0.527027027027027,0,11,61,61,1.0,0.8243243243243243,2.0,1.5,36.698026125109536,5.0,561,0.8912655971479502,Difficult
OO,5135,2025-08-01,ORD,MCW,2025-08-01 16:50:00+00:00,2025-08-01 18:20:00+00:00,2025-08-01 18:08:00+00:00,2025-08-01 19:25:00+00:00,50,CRJ-200,Express,-16,30,29,78.0,65.0,-0.5517241379310345,-45,100.0,55,0.5,1.0,58,0,0.0,3,2,1.16,0.0,0.034482758620689655,0.05172413793103448,22,0.3793103448275862,0,14,20,20,1.0,0.3448275862068966,2.0,1.5,35.77619656851091,6.0,561,1.06951871657754,Difficult
OO,4778,2025-08-01,ORD,FAR,2025-08-01 08:45:00+00:00,2025-08-01 10:57:00+00:00,2025-08-01 10:57:00+00:00,2025-08-01 12:55:00+00:00,50,CRJ-200,Express,-130,33,29,132.0,118.0,-4.482758620689655,-159,100.0,169,0.5,1.0,50,0,0.0,4,0,1.0,0.0,0.0,0.08,16,0.32,7,25,7,7,1.0,0.14,2.0,1.5,34.438823467541674,7.0,561,1.2477718360071302,Difficult
G7,4425,2025-08-01,ORD,GRR,2025-08-01 14:00:00+00:00,2025-08-01 16:04:00+00:00,2025-08-01 16:56:00+00:00,2025-08-01 19:09:00+00:00,50,CRJ-550,Express,-179,29,29,176.0,185.0,-6.172413793103448,-208,100.0,218,0.5,1.0,47,0,0.0,0,0,0.94,0.0,0.0,0.0,18,0.3829787234042553,7,6,19,19,1.0,0.40425531914893614,2.0,1.5,34.333344382103256,8.0,561,1.4260249554367201,Difficult
OO,5358,2025-08-01,ORD,CAK,2025-08-01 14:35:00+00:00,2025-08-01 17:09:00+00:00,2025-08-01 15:10:00+00:00,2025-08-01 17:28:00+00:00,50,CRJ-550,Express,-10,25,29,35.0,19.0,-0.3448275862068966,-39,100.0,49,0.5,1.0,52,0,0.0,4,0,1.04,0.0,0.0,0.07692307692307693,32,0.6153846153846154,0,8,35,35,1.0,0.6730769230769231,2.0,1.5,34.26082127564457,9.0,561,1.6042780748663104,Difficult
OO,5521,2025-08-01,ORD,ATW,2025-08-01 15:35:00+00:00,2025-08-01 16:48:00+00:00,2025-08-01 16:36:00+00:00,2025-08-01 17:41:00+00:00,50,CRJ-200,Express,-28,59,29,61.0,53.0,-0.9655172413793104,-57,100.0,67,0.5,1.0,47,0,0.0,5,0,0.94,0.0,0.0,0.10638297872340426,26,0.5531914893617021,10,20,18,18,1.0,0.3829787234042553,2.0,1.5,33.77458704639104,10.0,561,1.7825311942959003,Difficult
