company_id,flight_number,scheduled_departure_date_local,scheduled_departure_station_code,scheduled_arrival_station_code,scheduled_departure_datetime_local,scheduled_arrival_datetime_local,actual_departure_datetime_local,actual_arrival_datetime_local,total_seats,fleet_type,carrier,scheduled_ground_time_minutes,actual_ground_time_minutes,minimum_turn_minutes,departure_delay_minutes,arrival_delay_minutes,ground_time_ratio,ground_time_buffer,ground_time_pressure,ground_time_risk,aircraft_size_complexity,carrier_complexity,total_pax,lap_child_count,is_child,basic_economy_ind,is_stroller_user,load_factor,children_complexity,stroller_complexity,basic_economy_complexity,special_service_count,special_service_complexity,Hot Transfer,Origin,Transfer,total_bags,transfer_ratio,baggage_complexity,transfer_bag_complexity,historical_difficulty,difficulty_score,daily_rank,daily_flight_count,daily_percentile,difficulty_classification
OO,5274,2025-08-10,ORD,SBN,2025-08-10 21:30:00+00:00,2025-08-10 23:30:00+00:00,2025-08-11 08:26:00+00:00,2025-08-11 10:17:00+00:00,50,CRJ-200,Express,-607,69,29,656.0,647.0,-20.93103448275862,-636,100.0,646,0.5,1.0,7,0,0.0,0,0,0.14,0.0,0.0,0.0,39,5.571428571428571,0,5,21,21,1.0,3.0,2.0,1.5,49.7768457140618,1.0,557,0.17953321364452424,Difficult
UA,2278,2025-08-07,ORD,SEA,2025-08-07 16:15:00+00:00,2025-08-07 18:58:00+00:00,2025-08-07 21:48:00+00:00,2025-08-08 00:20:00+00:00,200,A321-2NX,Mainline,-240,79,70,333.0,322.0,-3.4285714285714284,-310,100.0,320,2.0,1.5,222,0,0.0,17,3,1.11,0.0,0.013513513513513514,0.07657657657657657,164,0.7387387387387387,8,56,79,79,1.0,0.35585585585585583,2.0,1.5,48.904294399671535,1.0,554,0.18050541516245489,Difficult
UA,2278,2025-08-12,ORD,SEA,2025-08-12 16:15:00+00:00,2025-08-12 18:58:00+00:00,2025-08-12 21:17:00+00:00,2025-08-12 23:47:00+00:00,200,A321-2NX,Mainline,-250,54,62,302.0,289.0,-4.032258064516129,-312,100.0,322,2.0,1.5,196,0,0.0,28,1,0.98,0.0,0.00510204081632653,0.14285714285714285,164,0.8367346938775511,0,31,77,77,1.0,0.39285714285714285,2.0,1.5,48.82685953436062,1.0,473,0.21141649048625794,Difficult
UA,2184,2025-08-09,ORD,EGE,2025-08-09 16:00:00+00:00,2025-08-09 18:03:00+00:00,2025-08-09 20:22:00+00:00,2025-08-09 22:36:00+00:00,126,B737-700,Mainline,-175,78,43,262.0,273.0,-4.069767441860465,-218,100.0,228,1.26,1.5,185,4,0.0,13,7,1.4682539682539681,0.021621621621621623,0.03783783783783784,0.07027027027027027,14,0.07567567567567568,0,42,37,37,1.0,0.2,2.0,1.5,48.387037291941816,1.0,521,0.19193857965451055,Difficult
UA,2008,2025-08-05,ORD,MCO,2025-08-05 11:02:00+00:00,2025-08-05 14:57:00+00:00,2025-08-05 13:15:00+00:00,2025-08-05 16:57:00+00:00,234,B757-300,Mainline,-95,58,66,133.0,120.0,-1.4393939393939394,-161,100.0,171,2.34,1.5,337,1,0.0,12,7,1.4401709401709402,0.002967359050445104,0.020771513353115726,0.03560830860534125,74,0.2195845697329377,0,74,38,38,1.0,0.11275964391691394,2.0,1.5,48.344682797685664,1.0,527,0.18975332068311196,Difficult
UA,1363,2025-08-12,ORD,LAX,2025-08-12 12:54:00+00:00,2025-08-12 15:23:00+00:00,2025-08-12 16:12:00+00:00,2025-08-12 19:26:00+00:00,200,A321-2NX,Mainline,-121,100,62,198.0,243.0,-1.9516129032258065,-183,100.0,193,2.0,1.5,234,3,0.0,27,3,1.17,0.01282051282051282,0.01282051282051282,0.11538461538461539,113,0.4829059829059829,19,79,53,53,1.0,0.2264957264957265,2.0,1.5,47.93149554281293,2.0,473,0.42283298097251587,Difficult
UA,2008,2025-08-08,ORD,MCO,2025-08-08 11:02:00+00:00,2025-08-08 14:57:00+00:00,2025-08-08 13:52:00+00:00,2025-08-08 18:11:00+00:00,234,B757-300,Mainline,-95,80,66,170.0,194.0,-1.4393939393939394,-161,100.0,171,2.34,1.5,286,3,0.0,24,3,1.2222222222222223,0.01048951048951049,0.01048951048951049,0.08391608391608392,74,0.25874125874125875,0,112,51,51,1.0,0.17832167832167833,2.0,1.5,47.80489896916002,1.0,556,0.1798561151079137,Difficult
UA,2465,2025-08-05,ORD,ORF,2025-08-05 11:55:00+00:00,2025-08-05 15:14:00+00:00,2025-08-05 13:04:00+00:00,2025-08-05 16:15:00+00:00,179,B737-900,Mainline,-47,47,56,69.0,61.0,-0.8392857142857143,-103,100.0,113,1.79,1.5,210,4,0.0,27,5,1.1731843575418994,0.01904761904761905,0.023809523809523808,0.12857142857142856,115,0.5476190476190477,9,48,60,60,1.0,0.2857142857142857,2.0,1.5,47.52189732314325,2.0,527,0.3795066413662239,Difficult
UA,380,2025-08-09,ORD,JAX,2025-08-09 11:59:00+00:00,2025-08-09 15:33:00+00:00,2025-08-09 15:15:00+00:00,2025-08-09 18:41:00+00:00,179,B737-MAX9,Mainline,-163,69,56,196.0,188.0,-2.9107142857142856,-219,100.0,229,1.79,1.5,197,3,0.0,21,3,1.100558659217877,0.015228426395939087,0.015228426395939087,0.1065989847715736,69,0.350253807106599,0,55,48,48,1.0,0.2436548223350254,2.0,1.5,47.38165220969479,2.0,521,0.3838771593090211,Difficult
UA,2008,2025-08-04,ORD,MCO,2025-08-04 11:02:00+00:00,2025-08-04 14:57:00+00:00,2025-08-04 13:34:00+00:00,2025-08-04 18:16:00+00:00,234,B757-300,Mainline,-95,79,66,152.0,199.0,-1.4393939393939394,-161,100.0,171,2.34,1.5,313,2,0.0,11,2,1.3376068376068375,0.006389776357827476,0.006389776357827476,0.03514376996805112,74,0.2364217252396166,0,101,54,54,1.0,0.17252396166134185,2.0,1.5,47.25147125568356,1.0,565,0.17699115044247787,Difficult
