scheduled_departure_date_local,avg_score,std_score,min_score,max_score,flight_count,classification_distribution
2025-08-01,16.94,7.35,1.6,44.36,561,"{'Medium': 190, 'Difficult': 186, 'Easy': 185}"
2025-08-02,17.93,7.87,1.41,47.51,520,"{'Easy': 174, 'Difficult': 173, 'Medium': 173}"
2025-08-03,16.69,7.37,0.47,45.82,548,"{'Medium': 183, 'Easy': 183, 'Difficult': 182}"
2025-08-04,16.25,8.25,2.79,47.32,565,"{'Difficult': 190, 'Medium': 188, 'Easy': 187}"
2025-08-05,16.5,7.89,1.52,48.59,527,"{'Medium': 176, 'Easy': 176, 'Difficult': 175}"
2025-08-06,15.92,7.82,1.02,46.52,502,"{'Easy': 168, 'Difficult': 167, 'Medium': 167}"
2025-08-07,16.68,8.33,2.8,52.34,554,"{'Medium': 186, 'Difficult': 185, 'Easy': 183}"
2025-08-08,16.53,7.38,1.69,47.86,556,"{'Easy': 186, 'Difficult': 185, 'Medium': 185}"
2025-08-09,17.9,8.26,2.6,47.5,521,"{'Difficult': 175, 'Medium': 174, 'Easy': 172}"
2025-08-10,17.25,8.4,1.26,47.85,557,"{'Difficult': 189, 'Medium': 186, 'Easy': 182}"
2025-08-11,16.23,7.59,1.72,47.93,570,"{'Difficult': 191, 'Medium': 191, 'Easy': 188}"
2025-08-12,16.51,7.94,2.62,51.54,473,"{'Medium': 160, 'Difficult': 157, 'Easy': 156}"
2025-08-13,16.42,7.79,3.11,43.66,529,"{'Easy': 177, 'Difficult': 176, 'Medium': 176}"
2025-08-14,16.96,8.62,0.65,46.73,560,"{'Medium': 187, 'Easy': 187, 'Difficult': 186}"
2025-08-15,16.9,8.38,0.9,44.64,556,"{'Easy': 186, 'Difficult': 185, 'Medium': 185}"
